UOID,Parent,Label,OrgName,ProgramName,Adjusted,Normalized,Outcomes,CPO,Efficacy,Evidence,Definition,OtherOutcomes,Budget,Reach,Type
11454,Z06.03.01,Baltimore Community Foundatio…,Baltimore Community Foundation/Middle Grades Partnership,Middle Grades Partnership,455,0.18%,455,"$2,253 ",91.00%,Needs Improvement,,Civic Engagement; Improved Academic Performance; Academic Habits of Mind; STEM Interest; Community Safety,"$1,025,000 ",500 individuals,Program
11455,Z06.05.02,St. Paul's School - Bridges,St. Paul's School - Bridges,St. Paul's School - Bridges,100,0.04%,11,"$72,727 ",4.00%,Reliable,,Career Access and Readiness; College Persistence and Completion; High School Completion,"$800,000 ",272 individuals,Program
11457,Z06.04.02,ChiS&E,ChiS&E,Chicago Pre-College Science and Enginering Summer Program,100,0.04%,40,"$1,750 ",100.00%,Needs Improvement,,None Listed,"$70,000 ",40 individuals,Program
11466,Z12.01.04,Youth & Opportunity United (Y…,Youth & Opportunity United (Y.O.U.),Out of School Time (OST) Program,650,0.40%,650,"$5,452 ",86.00%,Reliable,,Improved Academic Performance,"$3,544,000 ",756 individuals,Program
11474,Z04.01.03,Volunteer Lawyer Program of N…,"Volunteer Lawyer Program of Northeast Indiana, Inc.","Volunteer Lawyer Program of Northeast Indiana, Inc.",2100,3.46%,"2,100",$139 ,100.00%,Needs Improvement,,Access to Quality Resources; Economic Participation; Mitigate Discriminatory Housing Practices,"$291,000 ","2,100 individuals",Program
11483,Z05.03.03,Easterseals Arc of Northeast …,"Easterseals Arc of Northeast Indiana, Inc",Employment Works 2018-2019,148,0.07%,148,"$3,581 ",29.60%,Needs Improvement,,None Listed,"$530,000 ",500 individuals,Program
11494,Z06.01.03,Houston Independent School Di…,Houston Independent School District Foundation,Allstate Foundation “Rebuilding Our Readers”,1675,0.67%,"1,675",$239 ,100.00%,Needs Improvement,,Academic Habits of Mind,"$400,000 ","1,675 individuals",Program
11496,Z05.03.01,Junior Achievement of Southwe…,Junior Achievement of Southwest Virginia,Sixty for Sixty,571,0.28%,571,$12 ,10.00%,Needs Improvement,,None Listed,"$7,000 ","5,711 individuals",Program
11511,Z06.03.02,PAST Foundation,PAST Foundation,E3 Project,5000,2.01%,"5,075",$54 ,100.00%,Reliable: Best in Class,,Environmental Awareness,"$272,656 ","5,075 individuals",Program
11514,Z05.04.02,Junior Achievement of Central…,Junior Achievement of Central Ohio,JA BizTown,5000,2.41%,"13,000",$69 ,100.00%,Reliable,,Social and Emotional Skills,"$900,000 ","13,000 individuals",Program
11515,Z06.05.02,I Know I Can,I Know I Can,High School Advising in Columbus City Schools,5000,2.01%,"7,078",$226 ,59.00%,Reliable,,High School Completion,"$1,600,000 ","12,000 individuals",Program
11516,Z12.01.04,Ohio Energy Project,Ohio Energy Project,Student Leadership Summits,835,0.52%,835,$126 ,100.00%,Reliable: Best in Class,,STEM Persistence; Improved Academic Performance,"$105,000 ",835 individuals,Program
11517,Z06.01.02,Ohio Energy Project,Ohio Energy Project,Educator Professional Development,450,0.18%,450,$233 ,100.00%,Reliable: Best in Class,,Environmental Awareness,"$105,000 ",450 individuals,Program
11518,Z05.04.01,GRID Alternatives,GRID Alternatives,Single-Family solar,1652,0.80%,"1,652","$23,816 ",100.00%,Needs Improvement,,Job Readiness; Reduce Individual Environmental Impact,"$39,344,000 ","1,652 households",Program
11519,Z05.03.01,IMPACT Community Action,IMPACT Community Action,Vocational Training and Certification (VTAC) Construction Trades,100,0.05%,46,"$7,761 ",92.00%,Needs Improvement,,Job Quality,"$357,000 ",50 individuals,Program
11520,Z05.03.01,Ohio Energy Project,Ohio Energy Project,Career Connections in Energy,175,0.08%,175,$194 ,81.40%,Reliable,,Job Readiness,"$34,000 ",215 individuals,Program
11521,Z10.01.04,Ohio Energy Project,Ohio Energy Project,Energy Efficiency Education Program,5000,6.08%,"32,637",$52 ,75.00%,Needs Improvement,,STEM Interest,"$1,700,000 ","43,515 individuals",Program
11522,Z05.04.01,HandsOn Central Ohio,HandsOn Central Ohio,2-1-1 Basic Needs,5000,2.41%,"500,000",$3 ,100.00%,Needs Improvement,,None Listed,"$1,474,187 ","500,000 individuals",Program
11534,Z03.05.02,American Red Cross,American Red Cross,Red Cross House--Center for Disaster Recovery,1430,0.37%,"1,430",$896 ,100.00%,Needs Improvement,,Emergency Supply and Distribution of Food,"$1,281,435 ","1,430 individuals",Program
11536,Z08.03.04,Cancer Services of Allen Coun…,Cancer Services of Allen County dba Cancer Services of Northeast Indiana,Client Advocate Program,3772,2.61%,"3,772",$340 ,98.00%,Reliable,,Access to Services and Supports; Patient and Family Support,"$1,282,145 ","3,849 individuals",Program
11537,Z03.05.03,Mental Health America of Nort…,Mental Health America of Northeast Indiana,Cedars Hope,100,0.03%,25,"$9,770 ",100.00%,Reliable,,"Access to Quality Resources; Access to Nutritious Food; Affordable, Quality Healthcare; Manage Mental Health","$244,259 ",25 individuals,Program
11539,Z08.01.01,Eagles Charitable Foundation,Eagles Charitable Foundation,Eagles Eye Mobile,2739,1.89%,"2,739",$293 ,75.00%,Needs Improvement,,None Listed,"$801,400 ","3,652 individuals",Program
11540,Z08.04.05,"WINGS Program, Inc.","WINGS Program, Inc.",WINGS Safe House Services,448,0.31%,448,"$5,455 ",79.00%,Reliable,,Social and Emotional Skills; Emergency Supply and Distribution of Food; Access to Temporary Housing,"$2,443,974 ",567 individuals,Program
11541,Z12.01.01,MPSSAA,MPSSAA,VHSL Student Leaders Conference and Allstate Foundation Achievements,900,0.56%,900,$202 ,100.00%,Needs Improvement,,Academic Habits of Mind; Positive School Environment; Effective School Leadership,"$182,000 ",900 individuals,Program
11554,Z03.04.03,Habitat for Humanity Philadel…,"Habitat for Humanity Philadelphia, Inc.",FY19 Home Repair Program,334,0.09%,334,"$4,651 ",100.00%,Reliable: Best in Class,,Access to Affordable Housing; Personal Independence and Condition Management; Develop Affordable Permanent Housing; Financial Literacy; Prevent Literal Homelessness through Housing Stabilization,"$1,553,530 ",334 individuals,Program
11555,Z05.04.02,Junior Achievement of Central…,Junior Achievement of Central Maryland,"JA BizTown, Finance Park, and Leading Ladies Programs",5000,2.41%,"12,600",$36 ,63.00%,Reliable: Best in Class,,Financial Resilience,"$450,000 ","20,000 individuals",Program
11560,Z05.04.02,Junior Achievement of Chicago,Junior Achievement of Chicago,Junior Achievement: Financial Literacy and Entrepreneurship Education for Chicago-area Youth,5000,2.41%,"5,367",$19 ,100.00%,Needs Improvement,,Academic Habits of Mind,"$100,000 ","5,367 individuals",Program
11561,Z05.04.02,Junior Achievement of North C…,"Junior Achievement of North Central Ohio, Inc.",Empowering Tomorrow's Leaders: JA's Financial Literacy and Entrepreneurship Education Programs for K-12th Grade Students in North Central Ohio,5000,2.41%,"20,154",$33 ,100.00%,Reliable: Best in Class,,Job Readiness,"$664,614 ","20,154 individuals",Program
11563,Z12.01.01,MPSSAA,MPSSAA,MPSSAA Student Leadership Conference & Allstate Foundation Minds in Motion Scholarships,414,0.26%,414,$207 ,100.00%,Needs Improvement,,Improved Academic Performance; School Engagement and Persistence; Academic Habits of Mind,"$85,800 ",414 individuals,Program
11564,Z05.04.02,Arizona Council on Economic E…,Arizona Council on Economic Education,Economic Empowerment for Arizona Students,5000,2.41%,"199,262",$1 ,85.00%,Reliable,,Job Readiness,"$282,853 ","234,426 individuals",Program
11707,Z03.04.03,Philadelphia VIP,Philadelphia VIP,Housing Legal Assistance Program,492,0.13%,492,"$1,807 ",71.80%,Reliable,,None Listed,"$889,101 ",685 individuals,Program
11708,Z12.01.04,Erin's House for Grieving Chi…,Erin's House for Grieving Children,Erin's House Peer Grief Support,1960,1.22%,"1,960",$446 ,98.00%,Reliable: Best in Class,,Reduce Risky Behavior,"$875,000 ","2,000 individuals",Program
11711,Z03.05.02,Interfaith Hospitality Networ…,"Interfaith Hospitality Network of Greater Fort Wayne, Inc.",Emergency Family Shelter,263,0.07%,263,"$2,110 ",100.00%,Needs Improvement,,Personal Well-Being; Reduce Homelessness,"$555,000 ",263 individuals,Program
11712,Z03.06.10,Senior Resources of Guilford,Senior Resources of Guilford,Meals on Wheels for Homebound Seniors,613,0.16%,613,"$1,015 ",95.00%,Reliable,,None Listed,"$622,219 ",645 individuals,Program
11715,Z03.02.01,"Inglis Foundation, Philadelph…","Inglis Foundation, Philadelphia, PA",Inglis Care Management Program (ICM),541,0.14%,541,$766 ,99.40%,Needs Improvement,,Housing Stability,"$414,639 ",544 individuals,Program
11717,Z03.03.01,Community Harvest Food Bank o…,"Community Harvest Food Bank of Northeast Indiana, Inc.",Hunger Relief Programming,5000,1.29%,"85,000",$42 ,100.00%,Needs Improvement,,Emergency Supply and Distribution of Food; Healthy Food Consumption and Behaviour,"$3,534,927 ","85,000 individuals",Program
11718,Z03.05.02,Veterans Multi-Service Center,Veterans Multi-Service Center,Helping Less Fortunate Veterans,2463,0.64%,"2,463",$126 ,100.00%,Needs Improvement,,Personal Well-Being,"$311,059 ","2,463 individuals",Program
11721,Z03.05.03,Together Inc of Metropolitan …,Together Inc of Metropolitan Omaha,Horizons Program,1368,0.35%,"1,368",$642 ,72.00%,Reliable,,Prevent Literal Homelessness through Housing Stabilization,"$878,175 ","1,900 individuals",Program
11722,Z03.04.01,Habitat for Humanity of Omaha,Habitat for Humanity of Omaha,Builders Blitz,100,0.03%,9,"$198,823 ",90.00%,Needs Improvement,,Housing Stability; Financial Resilience; Organizational Reach,"$1,789,406 ",10 households,Program
11740,Z08.04.05,Rhode Island Coalition Agains…,Rhode Island Coalition Against Domestic Violence,Fresh Start,687,0.47%,687,$100 ,41.40%,Needs Improvement,,Identify and Refer Survivors,"$68,400 ","1,660 individuals",Program
11742,Z05.04.02,Junior Achievement of Southea…,Junior Achievement of Southeastern Michigan,JA Finance Park and Financial Freedom Project,5000,2.41%,"46,400",$12 ,80.00%,Reliable: Best in Class,,Financial Resilience; Social and Emotional Skills; Career Access and Readiness; College Access and Readiness; School Engagement and Persistence,"$534,049 ","58,000 individuals",Program
11747,Z03.05.03,The Servant Center,The Servant Center,Housing Services,100,0.03%,66,"$8,022 ",94.30%,Reliable,,Access to Temporary Housing; Housing Stability,"$529,464 ",70 individuals,Program
11766,Z05.03.01,Per Scholas,Per Scholas,Per Scholas Columbus,100,0.05%,86,"$10,068 ",87.80%,Needs Improvement,,Acquire Employment,"$865,841 ",98 individuals,Program
11771,Z08.04.05,"Center for Nonviolence, Inc","Center for Nonviolence, Inc",Domestic Violence Support & Advocacy Programming,158,0.11%,158,"$2,159 ",90.30%,Reliable,,Prevent Intimate Partner Violence,"$341,156 ",175 individuals,Program
11782,Z03.01.02,"SCAN, Inc.","SCAN, Inc.",Family Preservation,2499,0.65%,"2,499","$2,345 ",81.00%,Reliable: Best in Class,,Prevent Child Abuse and Neglect,"$5,859,941 ","3,085 individuals",Program
11785,Z03.05.02,Greensboro Urban Ministry,Greensboro Urban Ministry,Rehousing Assistance (formerly Beyond GUM),771,0.20%,771,$553 ,100.00%,Reliable,,Housing Stability,"$426,367 ",771 individuals,Program
11786,Z03.05.03,Mercy Housing and Shelter Cor…,Mercy Housing and Shelter Corporation,St. Elizabeth House Programs,100,0.03%,58,"$42,983 ",1.20%,Needs Improvement,,Access to Nutritious Food; Prevent Literal Homelessness through Housing Stabilization,"$2,493,041 ","4,672 individuals",Program
11791,Z03.05.03,Valley Youth House,Valley Youth House,The Synergy Project--Philadelphia,100,0.03%,50,"$5,319 ",90.90%,Reliable,,Emergency Supply and Distribution of Food; Access to Temporary Housing,"$265,960 ",55 individuals,Program
11794,Z03.03.01,Capitol Region Food Program d…,Capitol Region Food Program dba Capital Region Food Program,Holiday Food Basket Project,5000,1.29%,"6,953",$12 ,100.00%,Needs Improvement,,Organizational Effectiveness,"$85,000 ","6,953 individuals",Program
11796,Z03.05.02,Friends Program,Friends Program,"Friends Program, Inc.",100,0.03%,53,"$31,292 ",100.00%,Needs Improvement,,Access to Nutritious Food,"$1,658,457 ",53 households,Program
11827,Z05.04.01,Canadian Feed The Children,Canadian Feed The Children,Building Capacity for Families in Northern Ghana,266,0.13%,266,$65 ,60.00%,Needs Improvement,,Business and Enterprise Development; Women's Economic Empowerment; Financial Resilience; Employment Growth and Job Creation,"$17,446 ",444 individuals,Program
11867,Z12.01.01,Tides Canada Foundation,Tides Canada Foundation,Ontario Indigenous Youth Partnership Project,100,0.06%,19,"$10,878 ",100.00%,Needs Improvement,,Career Access and Readiness,"$206,688 ",19 individuals,Program
11869,Z06.02.03,Fred Victor,Fred Victor,Steps to Success,100,0.04%,70,"$1,400 ",70.00%,Reliable,,Local Economic Growth; Acquire Employment; Stimulate Entrepreneurship; Develop Affordable Permanent Housing; Career Access and Readiness,"$98,000 ",100 individuals,Program
11870,Z10.01.04,Earth Rangers,Earth Rangers,Earth Rangers Flip the Switch Mission,1864,2.27%,"1,864",$21 ,40.00%,Needs Improvement,,Environmental Awareness,"$40,000 ","4,660 individuals",Program
11890,Z05.04.02,Arizona Coalition to End Sexu…,Arizona Coalition to End Sexual and Domestic Violence,Arizona Financial Barrier Reduction Project,100,0.05%,52,"$1,442 ",100.00%,Needs Improvement,,Financial Resilience,"$75,000 ",52 individuals,Program
11891,Z08.04.05,Delaware Coalition Against Do…,Delaware Coalition Against Domestic Violence,Women In Charge of their Financial Futures,142,0.10%,142,$599 ,66.40%,Reliable,,None Listed,"$85,000 ",214 individuals,Program
11892,Z08.04.05,Indiana Coalition Against Dom…,"Indiana Coalition Against Domestic Violence, Inc.",ICADV Financial Independence through Savings Credit Assistance and Lending (ICADV FISCAL),440,0.30%,440,$227 ,100.00%,Reliable: Best in Class,,Housing Stability; Economic Well-Being; Financial Literacy; Acquire Employment; Job Readiness,"$100,000 ",440 individuals,Program
11894,Z08.04.05,Iowa Coalition Against Domest…,Iowa Coalition Against Domestic Violence,Survivors Achieving Financial Empowerment,422,0.29%,422,$169 ,100.00%,Needs Improvement,,Acquire Employment; Housing Stability; Prevent Intimate Partner Violence; Personal Well-Being; Financial Resilience,"$71,131 ",422 individuals,Program
11896,Z12.01.02,Junior Achievement of Georgia…,"Junior Achievement of Georgia, Inc.",Junior Achievement Discovery Center at Gwinnett,5000,3.11%,"31,000",$30 ,100.00%,Reliable,,Job Readiness; Social and Emotional Skills; Career Access and Readiness; School Engagement and Persistence; Academic Habits of Mind,"$925,338 ","31,000 individuals",Program
11897,Z12.01.04,Health World Education Ltd,Health World Education Ltd,Youth Empowerment through the Good Starts Young initiative facilitated by Health World,5000,3.11%,"9,000",$2 ,11.00%,Needs Improvement,,Reduce Risky Behavior,"$15,000 ","81,996 individuals",Program
11898,Z12.01.04,"Health World, Inc","Health World, Inc",Health World Youth Empowerment Programming,5000,3.11%,"14,475",$2 ,100.00%,Needs Improvement,,Reduce Risky Behavior,"$35,000 ","14,475 individuals",Program
11899,Z06.05.02,"100 BLACK MEN OF ATLANTA, INC","100 BLACK MEN OF ATLANTA, INC",Project Success  - Scholars Academy (Saturday School),100,0.04%,70,$514 ,100.00%,Reliable,,Civic Engagement; Social and Emotional Skills,"$36,000 ",70 individuals,Program
11900,Z08.04.05,DOVE Center,DOVE Center,Financial Empowerment,115,0.08%,115,"$2,261 ",79.90%,Reliable: Best in Class,,Prevent Intimate Partner Violence; Personal Well-Being; Financial Resilience; Financial Literacy,"$260,000 ",144 individuals,Program
11903,Z08.04.05,Friendship Home of Lincoln,Friendship Home of Lincoln,Friendship Home of Lincoln Domestic Violence Shelter Program,655,0.45%,655,"$4,004 ",86.00%,Reliable,,None Listed,"$2,622,840 ",762 individuals,Program
11905,Z05.04.02,Junior Achievement of Arizona,Junior Achievement of Arizona,JA BizTown,5000,2.41%,"20,459",$71 ,100.00%,Reliable: Best in Class,,Career Access and Readiness,"$1,459,540 ","20,459 individuals",Program
11908,Z08.04.05,Houston Area Women's Center,Houston Area Women's Center,Purple Purse grant for HAWC Career Development Center,226,0.16%,226,"$2,457 ",100.00%,Needs Improvement,,None Listed,"$555,174 ",226 individuals,Program
11910,Z05.04.02,"La Casa, Inc.","La Casa, Inc.",Purple Purse Challenge-Financial Literacy,103,0.05%,103,$485 ,100.00%,Needs Improvement,,Acquire Employment,"$50,000 ",103 individuals,Program
11912,Z12.01.04,Lancaster City Police Foundat…,Lancaster City Police Foundation (Lancaster PAL),Lancaster Police Athletic League (PAL),350,0.22%,350,$571 ,100.00%,Needs Improvement,,Reduce Crime; Independent Living Skills,"$200,000 ",350 individuals,Program
11913,Z03.03.01,Aging & In-Home Services of N…,"Aging & In-Home Services of Northeast Indiana, Inc.",Meals on Wheels Home Delivered Meals,1050,0.27%,"1,050",$632 ,100.00%,Needs Improvement,,Aging Awareness and Social Support; Physical Well-Being; Emergency Supply and Distribution of Food; Healthy Food Consumption and Behaviour,"$664,000 ","1,050 individuals",Program
11941,Z03.05.01,Homeless Advocacy Project (HA…,Homeless Advocacy Project (HAP),Core Legal Services Program,1402,0.36%,"1,402","$1,115 ",45.60%,Needs Improvement,,Prevent Literal Homelessness through Housing Stabilization,"$1,563,190 ","3,075 individuals",Program
11951,Z08.04.05,Louisiana Coalition Against D…,Louisiana Coalition Against Domestic Violence (LCADV),Purple Purse Moving Ahead Grant,198,0.14%,198,$360 ,100.00%,Needs Improvement,,Financial Literacy,"$71,250 ",198 individuals,Program
11953,Z08.04.05,Maine Coalition to End Domest…,Maine Coalition to End Domestic Violence,Savings and Safety: A Collaboration of MCEDV and New Ventures Maine,100,0.07%,73,$976 ,94.80%,Needs Improvement,,Financial Literacy,"$71,250 ",77 individuals,Program
11955,Z08.04.05,New Hamsphire Coalition Again…,New Hamsphire Coalition Against Domestic and Sexual Violence,Economic Empowerment Program of New Hampshire,1350,0.93%,"1,350",$159 ,76.70%,Reliable,,None Listed,"$215,000 ","1,759 individuals",Program
11956,Z08.04.05,New Mexico Coalition Against …,New Mexico Coalition Against Domestic Violence,Economic Empowerment,130,0.09%,130,$423 ,100.00%,Needs Improvement,,Economic Well-Being,"$55,000 ",130 individuals,Program
11965,Z08.04.05,Pennsylvania Coalition Agains…,Pennsylvania Coalition Against Domestic Violence,Investing in Survivors' Financial Independence Initiative,3334,2.30%,"3,334",$135 ,83.40%,Needs Improvement,,Financial Literacy; Career Access and Readiness,"$450,000 ","4,000 households",Program
11968,Z08.04.05,Texas Council on Family Viole…,Texas Council on Family Violence,Building Opportunities and Options for Texas Survivors (BOOTS),1375,0.95%,"1,375",$39 ,62.10%,Needs Improvement,,None Listed,"$54,093 ","2,215 individuals",Program
11969,Z08.04.05,Utah Domestic Violence Coalit…,Utah Domestic Violence Coalition,Purple Purse- Fostering Financial Freedom,1556,1.08%,"1,556",$48 ,100.00%,Needs Improvement,,Economic Well-Being; Financial Literacy; Financial Resilience; Financial Resilience; Women's Economic Empowerment,"$75,000 ","1,556 individuals",Program
11974,Z08.04.05,Domestic Abuse Project of Del…,Domestic Abuse Project of Delaware County,Financial Empowerment for Domestic Violence Survivors,235,0.16%,235,$142 ,89.70%,Needs Improvement,,Financial Literacy; Financial Resilience,"$33,300 ",262 individuals,Program
11977,Z08.04.05,"Holly's House, Inc.","Holly's House, Inc.",Domestic & Family Violence Support Services- Moving On,150,0.10%,150,"$1,410 ",100.00%,Needs Improvement,,Identify and Refer Survivors; Financial Literacy,"$211,490 ",150 individuals,Program
11979,Z08.04.05,"Texas Advocacy Project, Inc.","Texas Advocacy Project, Inc.",Legal and Economic Justice Initiative,4313,2.98%,"4,313",$533 ,67.40%,Needs Improvement,,Prevent Intimate Partner Violence; Financial Literacy; Identify and Refer Survivors,"$2,300,000 ","6,400 individuals",Program
11980,Z12.01.03,Vanderbilt University Medical…,Vanderbilt University Medical Center,Be in the Zone Program,1700,1.06%,"1,700",$94 ,85.00%,Reliable,,Independent Living Skills; Social and Emotional Skills,"$160,000 ","2,000 individuals",Program
11981,Z08.04.05,YWCA OKC,YWCA OKC,YWCA Oklahoma City Crisis Services,4305,2.97%,"4,305","$1,032 ",97.00%,Reliable,,Identify and Refer Survivors,"$4,441,380 ","4,438 individuals",Program
11982,Z06.03.02,Junior Achievement of Southwe…,Junior Achievement of Southwest Virginia,Owning Economic Success,1150,0.46%,"1,150",$7 ,95.80%,Needs Improvement,,None Listed,"$7,500 ","1,200 individuals",Program
12003,Z08.02.01,Sinai Health System,Sinai Health System,Making Connections Chicago,100,0.07%,49,"$4,259 ",60.00%,Needs Improvement,,Community Safety; Scale Effective Strategies; Social and Emotional Skills,"$207,000 ",81 individuals,Program
12006,Z03.04.01,Mercy Housing California,Mercy Housing California,Mercy Housing California New Affordable Housing Projects in Development 2018-2019,470,0.12%,470,"$17,981 ",100.00%,Reliable: Best in Class,,Housing Stability,"$8,451,243 ",470 individuals,Program
12007,Z05.04.03,Local Initiatives Support Cor…,Local Initiatives Support Corporation (LISC),Bridging the Gap to Living Wage Careers through Financial Opportunity Centers,5000,2.41%,"12,530",$693 ,97.20%,Needs Improvement,,Acquire Employment,"$8,677,434 ","12,885 individuals",Program
12010,Z05.04.02,Communication Service for the…,Communication Service for the Deaf,CSD Learns Financial Education Program,155,0.07%,155,$645 ,31.30%,Reliable: Best in Class,,None Listed,"$100,000 ",495 individuals,Program
12015,Z08.05.02,HealthBridge Foundation of Ca…,HealthBridge Foundation of Canada,Saving lives of mothers and children in Nepal and Vietnam,5000,3.45%,"9,000",$541 ,48.80%,Needs Improvement,,"Organizational Effectiveness; Infant Health; Affordable, Quality Healthcare; Affordable, Quality Healthcare; National Public Health Capacity","$4,865,078 ","18,443 individuals",Program
12016,Z03.05.04,Aunt Leah's Independant Lifes…,Aunt Leah's Independant Lifeskills Society,Thresholds Program: Interrupting the Intergenerational Cycle of Foster Care,100,0.03%,17,"$15,287 ",100.00%,Needs Improvement,,Personal Well-Being; Access to Services and Supports; Infant Health; Independent Living Skills; Reduce Time in Foster Care,"$259,880 ",17 individuals,Program
12017,Z12.01.04,Level. Changing Lives Through…,Level. Changing Lives Through Law (Ãgaliser. Changeons des vies par le droit),Empowering Indigenous Youth to Thrive,252,0.16%,252,"$1,488 ",80.00%,Reliable: Best in Class,,Cultural Traditions and Heritage; Cultural Educational Experiences; Reduce Risky Behavior; Ethnic or Religious Pride; Reduce Criminal Recidivism,"$375,000 ",315 individuals,Program
12019,Z06.05.04,Youth Employment Services YES,Youth Employment Services YES,Youth Employment Champion Initiative,5000,2.01%,"5,172","$2,734 ",77.40%,Reliable,,Job Readiness; Social and Emotional Skills,"$14,139,093 ","6,680 individuals",Program
12020,Z12.01.04,Nanny Angel Network,Nanny Angel Network,Nanny Angel Program for Children,266,0.17%,266,"$1,184 ",96.70%,Reliable,,Social and Emotional Gains,"$315,000 ",275 individuals,Program
12021,Z08.05.02,Jessie's - The June Callwood …,Jessie's - The June Callwood Centre for Young Women,The Gift of Education for At-Risk Teens - Success Through Education and Economic Development Programs,935,0.65%,935,$382 ,85.00%,Needs Improvement,,Job Readiness; High School Completion; Improved Academic Performance; Infant Health; Sexual Health Empowerment,"$356,768 ","1,100 individuals",Program
12024,Z12.01.04,York Region Rose of Sharon Se…,York Region Rose of Sharon Services for Young Mothers,Parenting and Personal Development Program,276,0.17%,276,"$6,005 ",92.00%,Reliable,,None Listed,"$1,657,340 ",300 individuals,Program
12026,Z05.04.02,Home Suite Hope Shared Servic…,Home Suite Hope Shared Services Ltd,Pathways to Success for Kids - Financial Literacy,100,0.05%,12,"$2,250 ",100.00%,Needs Improvement,,None Listed,"$27,000 ",12 individuals,Program
12027,Z12.01.01,The Leacock Foundation,The Leacock Foundation,Take the LEAD - A Community Action Club,100,0.06%,50,"$1,100 ",100.00%,Needs Improvement,,Social and Emotional Skills,"$55,000 ",50 individuals,Program
12029,Z03.04.03,National Urban League,National Urban League,NUL/Wells Fargo Asset Management Grant,549,0.14%,549,"$4,298 ",13.00%,Needs Improvement,,None Listed,"$2,359,060 ","4,222 individuals",Program
12035,Z05.04.02,Greensboro Housing Coalition,Greensboro Housing Coalition,Financial Literacy Toolbox II (FLT2),302,0.15%,302,$99 ,100.00%,Needs Improvement,,Housing Stability,"$30,000 ",302 individuals,Program
12069,Z05.04.02,Grameen Foundation,Grameen Foundation,WomenLink,5000,2.41%,"5,508",$18 ,26.00%,Reliable: Best in Class,,Economic Well-Being; Financial Literacy; Business and Enterprise Development; Women's Economic Empowerment,"$100,000 ","21,184 individuals",Program
12075,Z03.04.01,Prosperity Now,Prosperity Now,I'M HOME,100,0.03%,45,"$28,721 ",100.00%,Needs Improvement,,Housing Stability; Mitigate Discriminatory Housing Practices,"$1,292,437 ",45 organizations,Program
12080,Z05.02.01,Latino Business Action Network,Latino Business Action Network,Stanford Latino Entrepreneurship Initiative Education-Scaling Program,129,0.06%,129,"$3,781 ",92.00%,Reliable,,Job Creation,"$487,000 ",140 individuals,Program
12124,Z12.01.04,PRIDE Bermuda,PRIDE Bermuda,PRIDE PATHS,100,0.06%,93,$914 ,67.40%,Reliable: Best in Class,,Reduce Risky Behavior,"$85,000 ",138 individuals,Program
12132,Z03.05.02,Covenant House Toronto,Covenant House Toronto,Shelter,750,0.19%,750,"$8,026 ",100.00%,Needs Improvement,,Personal Well-Being,"$6,019,336 ",750 individuals,Program
12134,Z03.02.03,Geneva Centre for Autism Foun…,Geneva Centre for Autism Foundation,Social Skills,301,0.08%,301,$664 ,90.10%,Reliable: Best in Class,,None Listed,"$200,000 ",334 individuals,Program
12136,Z06.05.02,Greater Twin Cities United Wa…,Greater Twin Cities United Way (GTCUW),Career Academies (CA),1693,0.68%,"1,693","$1,240 ",59.00%,Reliable,,Career Access and Readiness; College Access and Readiness; Scale Effective Strategies,"$2,100,000 ","2,870 individuals",Program
12137,Z06.05.03,Indspire,Indspire,"Building Brighter Futures: Bursaries, Scholarships and Awards (BBF)",3850,1.55%,"3,850","$4,861 ",96.30%,Reliable,,Career Access and Readiness,"$18,713,000 ","4,000 individuals",Program
12139,Z12.01.04,The Regent Park School of Mus…,The Regent Park School of Music,To Give 100 Children from High Risk Neighbourhoods a Music Education that will Change their Lives,100,0.06%,100,"$1,000 ",100.00%,Needs Improvement,,Academic Habits of Mind; School Engagement and Persistence; Strengthen Individual Creativity Skills; Reduce Risky Behavior,"$100,000 ",100 individuals,Program
12140,Z08.04.05,End Domestic Abuse Wisconsin,End Domestic Abuse Wisconsin,Allstate Moving Ahead Through Financial Management Curriculum Training,100,0.07%,49,$102 ,49.50%,Needs Improvement,,Financial Sustainability,"$5,000 ",99 individuals,Program
12141,Z05.03.05,University of Cape Town,University of Cape Town,African Paediatric Fellowship Programme (APFP),100,0.05%,43,"$28,610 ",97.70%,Reliable,,"Affordable, Quality Healthcare","$1,230,233 ",44 individuals,Program
12142,Z08.04.05,New Jersey Coalition to End D…,New Jersey Coalition to End Domestic Violence,Financial Empowerment Program,379,0.26%,379,$317 ,93.60%,Reliable,,Financial Resilience; Economic Well-Being; Financial Literacy; Career Access and Readiness; College Access and Readiness,"$120,000 ",405 individuals,Program
12148,Z12.01.04,Child Development Institute,Child Development Institute,Stop Now And Plan (SNAP) - evidence based intervention for school-aged children,100,0.06%,42,"$6,570 ",70.00%,Needs Improvement,,Design New or Improved Products and Services,"$275,948 ",60 individuals,Program
12150,Z05.03.01,Dress for Success Northern NJ…,Dress for Success Northern NJ - 10 Counties,Job Readiness and Retention,1600,0.77%,"1,600",$263 ,91.00%,Needs Improvement,,Acquire Employment; Career Advancement; Return to Work,"$420,421 ","1,758 individuals",Program
12152,Z08.02.02,LOFT Community Services,LOFT Community Services,Transitional Age Youth Program,335,0.23%,335,"$5,543 ",40.60%,Needs Improvement,,Reduce Homelessness; Care Management; Patient Quality of Life; Reduce Substance Abuse; Reduce Risky Behavior,"$1,856,830 ",825 individuals,Program
