UOID,Parent,Label,Impact Area,Genome,Outcome,Benchmark CPO,Benchmark Efficacy,Benchmark Evidence,Outcomes Produced,Outcomes Adjusted
9677,Z09.01.02,Scadding Court Community Centre,,,,"$1,406",,,86,0.0400000
9680,Z06.03.01,City of Brantford,,,,"$7,233",,,30,0.0027701
9681,Z08.04.05,Ayiti Now Corp,,,,$120,,,100,0.0057471
9683,Z04.03.09,Catholic Charities of Santa Clara County,,,,$762,,,8400,0.0133333
9684,Z04.03.09,International Institute of the Bay Area,,,,$958,,,1000,0.0133333
9687,Z03.02.02,City of Mississauga & University of Toronto,,,,$3,,,9860,0.0037736
9688,Z04.03.09,National Immigration Forum,,,,$468,,,2500,0.0133333
9690,Z04.03.09,International Rescue Committee,,,,$125,,,467,0.0133333
9691,Z04.03.09,API Legal Outreach,,,,$430,,,135,0.0133333
9692,Z04.03.03,Nuestra Casa de East Palo Alto,,,,$7,,,14000,0.0133333
9693,Z04.03.09,"Services, Immigrant Rights and Education Network (SIREN)",,,,$47,,,9800,0.0133333
9695,Z04.03.09,CET Immigration and Citizenship Program,,,,$196,,,299,0.0133333
9699,Z04.03.05,Interfaith Movement for Human Integrity,,,,$526,,,95,0.0133333
9700,Z04.03.09,Asian Americans Advancing Justice- Asian Law Caucus,,,,$400,,,200,0.0133333
9706,Z04.02.03,Islamic Networks Group (ING),,,,$0,,,5000000,0.0133333
9711,Z04.03.09,Puente de la Costa Sur,,,,$72,,,694,0.0133333
9717,Z02.01.02,Guardian Group,,,,$95,,,2625,0.2000000
9721,Z06.01.01,Schools That Can Milwaukee,,,,$162,,,15300,0.0027701
9729,Z06.01.03,New Schools for Chicago,,,,$473,,,2892,0.0027701
9735,Z06.01.02,Urban Teachers,,,,"$85,447",,,70,0.0027701
9741,Z09.01.01,iCouldBe,,,,"$1,109",,,901,0.0400000
9745,Z06.05.03,0,,,,"$2,451",,,574,0.0027701
9750,Z06.03.03,"CommonLit, Inc.",,,,$9,,,368000,0.0027701
9768,Z06.03.03,Quill.org,,,,$8,,,120000,0.0027701
9785,Z06.01.03,Pinecrest Queensway Community Health Center,,,,"$3,856",,,64,0.0027701
9787,Z03.05.03,Centre for Addiction and Mental Health,,,,"$7,500",,,60,0.0037736
9797,Z08.02.02,SCHIZOPHRENIA SOCIETY OF ONTARIO,,,,"$51,574",,,2,0.0057471
9799,Z03.05.03,Shepherds of Good Hope,,,,"$65,569",,,8,0.0037736
9806,Z05.04.03,United Counties of Leeds and Grenville,,,,"$6,745",,,16,0.0041667
9812,Z04.03.13,Kingston Community Health Centres,,,,"$50,000",,,10,0.0133333
9819,Z09.01.02,ACCESS Community Capital Fund,,,,$291,,,1000,0.0400000
9821,Z09.01.02,Working Women Community Centre,,,,"$5,197",,,63,0.0400000
9822,Z12.01.04,St. Michael's Hospital,,,,$639,,,180,0.0053476
9826,Z06.05.02,Kitchener-Waterloo Multicultural Centre,,,,"$4,483",,,24,0.0027701
9835,Z12.01.04,Klineline Kids Fishing Nonprofit,,,,$54,,,2301,0.0053476
9844,Z06.04.01,0,,,,"$4,211",,,1308,0.0027701
9862,Z08.04.05,End Domestic Abuse WI: the Wisconsin Coalition Against Domestic Violence,,,,$70,,,639,0.0057471
9865,Z05.04.02,Nevada Coalition to End Domestic and Sexual Violence,,,,$687,,,66,0.0041667
9868,Z06.03.02,Chesterfield County Public Schools,,,,$5,,,789,0.0027701
9894,Z05.04.02,Georgia Coalition Against Domestic Violence,,,,"$1,316",,,38,0.0041667
9926,Z04.03.01,New American Pathways,,,,$367,,,3413,0.0133333
9931,Z08.04.05,Rise Above It Outreach,,,,"$3,158",,,4,0.0057471
9937,Z08.04.01,"Alpha Chi Omega Fraternity, Inc",,,,$0,,,115000,0.0057471
9978,Z05.04.02,Vermont Network Against Domestic and Sexual Violence,,,,$149,,,302,0.0041667
9987,Z06.01.02,Robert R. McCormick Foundation,,,,$0,,,200,0.0027701
10014,Z05.04.02,NMCADV,,,,$571,,,96,0.0041667
10023,Z06.03.03,New Horizons of SW FL,,,,"$2,996",,,147,0.0027701
10024,Z06.03.03,New Horizons of SW FL,,,,"$3,451",,,290,0.0027701
10027,Z05.04.02,Habitat for Humanity of Michigan,,,,$498,,,426,0.0041667
10041,Z06.03.03,By The Hand Club For Kids,,,,"$2,597",,,91,0.0027701
10056,Z12.01.04,"Charity for Change, Inc.",,,,$45,,,8245,0.0053476
10064,Z03.06.10,Naples Senior Center at JFCS,,,,$154,,,322,0.0037736
10066,Z06.03.03,The Salvation Army Naples,,,,"$1,203",,,332,0.0027701
10067,Z06.02.03,Literacy Volunteers of Collier County,,,,$370,,,324,0.0027701
10070,Z09.01.01,"Gargiulo Education Center, Inc.",,,,"$1,055",,,58,0.0400000
10071,Z03.02.02,"Avow Hospice, Inc.",,,,$219,,,3200,0.0037736
10076,Z03.03.03,First Baptist Church of Marco (Family Church),,,,$12,,,20027,0.0037736
10079,Z03.06.03,Alzheimer's Association Florida Gulf Coast Chapter,,,,$192,,,304,0.0037736
10080,Z03.06.03,Alzheimer's Association Florida Gulf Coast Chapter,,,,$27,,,304,0.0037736
10089,Z01.02.01,The Marco Players Theater,,,,$285,,,70,0.0070922
10092,Z06.03.03,"Big Brothers Big Sisters of the Sun Coast, Inc.",,,,"$1,804",,,1679,0.0027701
10094,Z06.03.02,The Greater Marco Family YMCA,,,,$95,,,315,0.0027701
10131,Z06.04.01,KISS Institute For Practical Robotics,,,,$139,,,3240,0.0027701
10178,Z06.05.04,USO Metropolitan Washington-Baltimore,,,,"$2,000",,,75,0.0027701
10184,Z06.04.01,Robotics Education & Competition (REC) Foundation,,,,$1,,,319500,0.0027701
10199,Z06.04.02,JASON Learning,,,,$22,,,18500,0.0027701
10234,Z06.04.01,Martin Sortun Elementary,,,,$24,,,630,0.0027701
10252,Z06.05.01,Friends of Youth,,,,"$5,083",,,18,0.0027701
10268,Z06.04.01,Thunder Mountain Middle School,,,,$104,,,72,0.0027701
10375,Z03.02.03,The Bermuda Society for the Blind,,,,"$5,434",,,67,0.0037736
10421,Z05.04.02,Doorways for Women and Families,,,,"$3,830",,,87,0.0041667
10569,Z10.02.01,"The Battery Conservancy, Inc.",,,,$1,,,3500000,0.0270270
10575,Z01.01.01,The Metropolitan Museum of Art,,,,$0,,,7000000,0.0070922
10577,Z06.01.02,Council for Economic Education,,,,$110,,,53350,0.0027701
10580,Z06.02.02,Place2Be,,,,"$3,501",,,31,0.0027701
10583,Z10.02.01,The New York Botanical Garden,,,,$75,,,1100000,0.0270270
10585,Z06.01.04,New York Cares,,,,$76,,,100000,0.0027701
10586,Z10.02.02,HandsOn Bay Area,,,,"$7,000",,,4,0.0270270
10592,Z04.03.08,Hamilton Families,,,,$268,,,1453,0.0133333
10604,Z06.03.02,VocaÛÎ_ÛÎ£o - AÛÎ_ÛÎ£o ComunitÛÎria do Brasil SÛÎ£o Paulo,,,,$0,,,248,0.0027701
10607,Z09.01.02,Kiva,,,,"$2,186",,,1400,0.0400000
10622,Z05.03.03,"Year Up, Inc.",,,,"$38,555",,,227,0.0041667
10623,Z06.05.04,Lutheran Immigration and Refugee Service,,,,"$1,021",,,135,0.0027701
10624,Z05.03.01,EmployIndy,,,,"$1,379",,,134,0.0041667
10625,Z05.03.01,Greater Chicago Food Depository,,,,"$19,601",,,51,0.0041667
10626,Z05.03.03,Upwardly Global,,,,"$5,793",,,284,0.0041667
10627,Z05.03.01,Boys & Girls Clubs of King County (BGCKC),,,,$564,,,316,0.0041667
10629,Z03.05.02,Mary's Place,,,,"$4,764",,,2309,0.0037736
10630,Z05.03.03,Teamwork Englewood,,,,$635,,,79,0.0041667
10631,Z06.05.04,Community Action Partnership of Kern,,,,$458,,,120,0.0027701
10633,Z06.05.04,MetroSquash,,,,"$1,054",,,37,0.0027701
10749,Z12.01.04,Community Theatre of Greensboro,,,,$454,,,350,0.0053476
10751,Z01.01.02,TheaterWorks,,,,$99,,,3177,0.0070922
10752,Z06.04.01,"Girls Who Code, Inc.",,,,"$3,571",,,21,0.0027701
10754,Z03.06.01,WindReach Bermuda,,,,"$17,467",,,21,0.0037736
10755,Z03.02.02,WindReach Bermuda,,,,"$2,410",,,73,0.0037736
10758,Z06.04.01,Girls Who Code,,,,"$4,310",,,17,0.0027701
10759,Z03.03.01,The ARK,,,,$283,,,2500,0.0037736
10774,Z01.01.02,Kimmel Center Inc.,,,,$91,,,16898,0.0070922
10801,Z05.03.03,Living Classrooms Foundation,,,,"$12,541",,,85,0.0041667
10808,Z08.05.01,The Family Tree,,,,"$3,334",,,9500,0.0057471
10810,Z03.02.01,"V-LINC, Inc.",,,,"$5,285",,,38,0.0037736
10812,Z04.03.13,"Paul's Place, Inc.",,,,"$15,956",,,42,0.0133333
10816,Z03.04.01,Habitat for Humanity of the Chesapeake,,,,"$5,844",,,2000,0.0037736
10817,Z04.03.12,Center for Urban Families,,,,"$18,634",,,351,0.0133333
10834,Z01.01.01,Currier Museum of Art,,,,$12,,,7800,0.0070922
10835,Z01.02.01,"Seven Stages, Inc.",,,,$87,,,1020,0.0070922
10847,Z01.01.01,Musicopia,,,,$72,,,5796,0.0070922
10855,Z08.01.02,P.A.L.S.,,,,"$6,250",,,300,0.0057471
10856,Z05.03.01,Council for Economic Education,,,,$338,,,2000,0.0041667
10874,Z08.06.04,Pathways Bermuda,,,,"$19,208",,,3,0.0057471
10876,Z06.02.03,BSMART Development Foundation,,,,"$10,909",,,11,0.0027701
10884,Z01.01.02,El Museo Latino,,,,$4,,,20000,0.0070922
10885,Z06.04.01,"Girls Who Code, Inc.",,,,"$3,750",,,20,0.0027701
10897,Z03.02.02,WindReach Bermuda,,,,"$2,749",,,82,0.0037736
10899,Z03.02.02,WindReach Bermuda,,,,"$6,480",,,60,0.0037736
10900,Z03.02.02,The Bermuda Society for the Blind,,,,"$11,173",,,20,0.0037736
10902,Z06.02.02,Tomorrow’s Voices,,,,"$44,615",,,13,0.0027701
10905,Z03.06.04,Bermuda Housing Trust,,,,$830,,,194,0.0037736
10958,Z03.02.03,Saint Catherine Center,,,,"$50,781",,,13,0.0037736
10974,Z05.02.03,Village Capital,,,,"$50,518",,,11,0.0041667
10976,Z05.03.01,Prep for Prep,,,,"$4,683",,,138,0.0041667
10982,Z06.03.02,NFTE (Network for Teaching Entrepreneurship),,,,$783,,,383,0.0027701
11003,Z03.06.05,Age Concern Bermuda,,,,$767,,,150,0.0037736
11004,Z01.01.02,Joslyn Art Museum,,,,$5,,,47069,0.0070922
11005,Z01.01.02,"Artreach, Inc.",,,,$2,,,184712,0.0070922
11008,Z01.01.02,"Dance Project, Inc.",,,,$8,,,2000,0.0070922
11009,Z01.01.01,"Fort Wayne Philharmonic Orchestra, Inc.",,,,$13,,,29083,0.0070922
11010,Z01.01.02,Arden Theatre Company,,,,$136,,,2200,0.0070922
11013,Z04.02.02,Taller Puertorriqueño,,,,$334,,,1780,0.0133333
11016,Z03.02.03,Omaha Theater Company,,,,$125,,,12,0.0037736
11017,Z01.01.02,"Eastern Music Festival, Inc.",,,,$14,,,4500,0.0070922
11018,Z01.01.02,Fort Wayne Ballet,,,,$13,,,16207,0.0070922
11019,Z12.01.04,Hartford Stage Company,,,,$655,,,440,0.0053476
11020,Z01.01.02,United Arts Council of Greater Greensboro dba ArtsGreensboro,,,,$8,,,487500,0.0070922
11021,Z01.01.02,The Clay Studio,,,,$92,,,3186,0.0070922
11022,Z01.01.02,The Music Academy of North Carolina,,,,$7,,,6100,0.0070922
11025,Z01.02.01,"Fort Wayne Children's Choir, Inc.",,,,$292,,,1358,0.0070922
11027,Z01.01.02,"Foundation for Art and Music In Elementary Education, Inc.",,,,$7,,,3500,0.0070922
11033,Z01.02.01,Philadelphia Mural Arts Advocates,,,,$847,,,1900,0.0070922
11034,Z01.02.01,Triad Stage,,,,$14,,,10934,0.0070922
11035,Z01.02.01,Greater Hartford Arts Council,,,,"$1,577",,,97,0.0070922
11041,Z01.01.01,"Embassy Theatre Foundation, Inc.",,,,$7,,,5343,0.0070922
11042,Z01.01.01,Horace Bushnell Memorial Hall Corporation,,,,$57,,,10000,0.0070922
11043,Z01.01.01,New Hampshire Music Festival,,,,$12,,,5200,0.0070922
11044,Z01.01.01,Fort Wayne Museum of Art,,,,$5,,,22160,0.0070922
11045,Z01.01.01,Wadsworth Atheneum Museum of Art,,,,$30,,,8799,0.0070922
11046,Z01.01.01,Touring Theatre of North Carolina,,,,$19,,,800,0.0070922
11047,Z01.01.01,Philadelphia Museum of Art,,,,"$2,128",,,50,0.0070922
11048,Z01.01.01,Philadelphia Orchestra Association,,,,$12,,,16000,0.0070922
11049,Z01.01.01,Philadelphia Museum of Art,,,,$33,,,4660,0.0070922
11050,Z01.01.01,Omaha Theater Company,,,,$7,,,1240,0.0070922
11052,Z01.01.01,Hartford Symphony Orchestra,,,,$25,,,3020,0.0070922
11053,Z01.01.01,Red River Theatres,,,,$21,,,800,0.0070922
11054,Z01.01.01,Fleisher Art Memorial,,,,$408,,,357,0.0070922
11056,Z01.01.01,The Union for Contemporary Art,,,,$422,,,340,0.0070922
11057,Z01.01.01,Omaha Symphony Association,,,,$24,,,24806,0.0070922
11059,Z01.01.01,"Fort Wayne Civic Theatre, Inc.",,,,$21,,,4500,0.0070922
11060,Z01.01.01,Barnes Foundation,,,,$76,,,8900,0.0070922
11061,Z08.05.01,United Way of Greater Milwaukee & Waukesha County,,,,$175,,,2856,0.0057471
11062,Z01.02.01,The Rock School for Dance Education,,,,$102,,,6500,0.0070922
11063,Z01.02.01,Fort Wayne Dance Collective,,,,$125,,,994,0.0070922
11064,Z01.02.02,Greater Philadelphia Cultural Alliance,,,,"$5,267",,,434,0.0070922
11066,Z01.02.03,Nebraska Writers Collective,,,,$482,,,550,0.0070922
11069,Z03.02.02,Concord Community Music School,,,,$213,,,772,0.0037736
11070,Z03.02.03,WhyArts inc,,,,$29,,,486,0.0037736
11092,Z06.04.01,Homewood Science Center,,,,$113,,,398,0.0027701
11093,Z06.04.01,Project Exploration,,,,"$1,194",,,125,0.0027701
11101,Z09.01.01,NFTE,,,,$299,,,1340,0.0400000
11106,Z06.04.03,CodePath.org,,,,$500,,,1000,0.0027701
11122,Z06.03.03,"Young Audiences of Maryland, Inc.",,,,"$2,132",,,1589,0.0027701
11123,Z06.01.02,Waterfront Partnership of Baltimore,,,,"$2,487",,,16,0.0027701
11124,Z06.05.01,"Baltimore School for the Arts Foundation, Inc.",,,,"$32,141",,,92,0.0027701
11125,Z06.02.03,"Port Discovery Children's Museum (legal name: Baltimore Children""s Museum, Inc.)",,,,$17,,,33750,0.0027701
11126,Z04.02.04,Maryland Historical Society,,,,$34,,,85000,0.0133333
11127,Z01.01.02,Community Concerts at Second,,,,$326,,,500,0.0070922
11128,Z01.01.02,The Baltimore Museum of Art,,,,$79,,,224818,0.0070922
11130,Z01.01.01,Chesapeake Shakespeare Company,,,,$71,,,15562,0.0070922
11131,Z01.02.02,Greater Baltimore Cultural Alliance,,,,"$24,164",,,9,0.0070922
11132,Z01.02.02,Greater Baltimore Cultural Alliance,,,,$645,,,121,0.0070922
11150,Z01.01.01,"Baltimore Chamber Orchestra, Inc.",,,,$79,,,3420,0.0070922
11151,Z06.03.02,Baltimore Museum of Industry,,,,$25,,,22840,0.0027701
11153,Z01.01.01,Baltimore Symphony Orchestra,,,,$11,,,24250,0.0070922
11154,Z01.01.01,Baltimore Center Stage,,,,$97,,,5851,0.0070922
11157,Z09.01.02,Impact Hub Baltimore,,,,"$1,290",,,310,0.0400000
11158,Z06.02.02,"Irvine Natural Science Center, Inc.",,,,$174,,,115,0.0027701
11159,Z06.04.01,Maryland Academy of Sciences at the Maryland Science Center,,,,$40,,,40000,0.0027701
11160,Z10.02.01,"Maryland Zoological Society, Inc.",,,,$288,,,54177,0.0270270
11164,Z10.02.01,The National Aquarium,,,,$37,,,1300000,0.0270270
11165,Z01.02.03,The Peabody Institute of the Johns Hopkins University,,,,"$81,987",,,631,0.0070922
11166,Z04.02.04,"Star-Spangled Banner Flag House Association, Inc.",,,,$36,,,4381,0.0133333
11168,Z06.03.02,Reginald F. Lewis Museum of African American History & Culture,,,,$13,,,3500,0.0027701
11174,Z06.01.01,The Chicago Public Education Fund,,,,"$3,226",,,310,0.0027701
11181,Z01.02.01,"Baltimore School for the Arts Foundation, Inc.",,,,$757,,,654,0.0070922
11188,Z06.04.02,Union League Boys and Girls Clubs of Chicago,,,,"$1,000",,,75,0.0027701
11189,Z06.04.01,"Chicago Architecture Foundation, DBA Chicago Architecture Center (CAC)",,,,"$1,480",,,32,0.0027701
11192,Z06.04.01,"Pathway to Adventure Council, Boy Scouts of America",,,,$309,,,320,0.0027701
11193,Z06.04.01,After School Matters,,,,"$4,608",,,22,0.0027701
11204,Z06.05.03,Knowledge Quest Ltd.,,,,"$1,854",,,147,0.0027701
11205,Z03.06.10,Boccia Bermuda,,,,$900,,,57,0.0037736
11206,Z06.05.04,"The Epsilon Theta Lambda Chapter of Alpha Phi Alpha Fraternity, Inc.",,,,"$8,800",,,5,0.0027701
11207,Z01.02.01,Bermuda School of Music,,,,$833,,,24,0.0070922
11209,Z12.01.04,Bermuda Basketball Association,,,,$19,,,135,0.0053476
11211,Z06.02.02,Bermuda National Gallery,,,,$65,,,382,0.0027701
11212,Z10.02.01,Bermuda Zoological Society,,,,$596,,,8392,0.0270270
11213,Z08.07.02,Bermuda Sanshou Association,,,,$56,,,54,0.0057471
11214,Z03.04.01,Bermuda Housing Trust,,,,"$6,667",,,180,0.0037736
11215,Z12.01.03,Bermudas Brazilian Football School,,,,$25,,,600,0.0053476
11216,Z12.01.03,Bermuda National Athletics Association,,,,"$23,098",,,10,0.0053476
11217,Z05.02.01,Bermuda College,,,,"$24,333",,,13,0.0041667
11219,Z03.05.03,The Salvation Army Bermuda,,,,"$1,305",,,1500,0.0037736
11220,Z06.03.02,Bermuda Underwater Exploration Institute (BUEI),,,,$124,,,2700,0.0027701
11225,Z06.04.02,Blok by Blok Chicago,,,,$200,,,90,0.0027701
11228,Z06.03.03,Adult Education School,,,,"$3,116",,,60,0.0027701
11229,Z06.04.02,Chicago Pre-College Science and Engineering Program (ChiS&E),,,,"$1,575",,,38,0.0027701
11232,Z06.04.02,DePaul University,,,,"$7,195",,,18,0.0027701
11239,Z08.01.01,Bermuda Diabetes Association,,,,$600,,,3500,0.0057471
11240,Z06.04.01,Museum of Science and Industry,,,,"$1,667",,,30,0.0027701
11245,Z06.04.01,Universidad Popular,,,,$466,,,40,0.0027701
11246,Z06.04.03,Project SYNCERE,,,,"$3,684",,,19,0.0027701
11248,Z06.04.02,National Museum of Mexican Art,,,,"$4,025",,,34,0.0027701
11249,Z06.04.02,Loyola University Chicago,,,,$590,,,85,0.0027701
11250,Z06.04.02,IMPACT Family Center,,,,"$2,193",,,228,0.0027701
11251,Z06.04.02,High Jump,,,,$398,,,350,0.0027701
11253,Z06.04.02,Family Matters Inc.,,,,$417,,,12,0.0027701
11254,Z06.04.01,Community Television Network,,,,"$1,832",,,25,0.0027701
11255,Z06.04.02,CoderDojoChi,,,,"$1,667",,,75,0.0027701
11256,Z06.04.03,"CodeNow, Inc.",,,,$669,,,136,0.0027701
11257,Z06.04.01,Code Nation,,,,"$1,551",,,456,0.0027701
11258,Z06.04.03,Classroom Inc.,,,,"$2,000",,,15,0.0027701
11271,Z04.02.04,"Star-Spangled Banner Flag House Association, Inc.",,,,$36,,,4381,0.0133333
11277,Z01.02.02,Maryland Institute College of Art,,,,"$33,200",,,2500,0.0070922
11278,Z01.01.01,"Intersection of Change, Inc.",,,,$237,,,1733,0.0070922
11281,Z01.01.01,The Walters Art Museum,,,,$80,,,55800,0.0070922
11284,Z03.02.05,Bermuda Centre for Creative Learning,,,,"$28,692",,,26,0.0037736
11285,Z06.03.03,Adult Education School,,,,"$8,640",,,6,0.0027701
11286,Z12.01.04,Bermuda Cricket Board,,,,"$1,206",,,100,0.0053476
11287,Z03.04.01,Bermuda Housing Trust,,,,"$4,634",,,8,0.0037736
11288,Z09.01.01,Bermuda Institute of Ocean Sciences,,,,$407,,,1000,0.0400000
11292,Z12.01.04,Bermuda Sloop Foundation,,,,"$8,275",,,240,0.0053476
11293,Z03.02.01,The Bermuda Society for the Blind,,,,"$4,245",,,91,0.0037736
11294,Z10.02.01,Bemuda Zoological Society,,,,$65,,,7975,0.0270270
11296,Z06.02.03,BSMART Development Foundation,,,,"$4,786",,,14,0.0027701
11298,Z06.02.02,BSMART Development Foundation,,,,$83,,,150,0.0027701
11299,Z12.01.04,Endeavour Community Sailing,,,,"$1,167",,,480,0.0053476
11300,Z06.05.02,IMPACT Mentoring Academy,,,,"$332,500",,,2,0.0027701
11301,Z03.03.01,Meals on Wheels,,,,"$1,548",,,325,0.0037736
11303,Z09.01.02,Amref Flying Doctors,,,,"$14,186",,,12,0.0400000
11304,Z09.01.03,Epicentre Niger,,,,"$5,675",,,20,0.0400000
11305,Z05.03.05,Amref Flying Doctors,,,,$74,,,1200,0.0041667
11306,Z12.01.04,IMC Weekendschool,,,,"$1,609",,,120,0.0053476
11307,Z09.01.03,The World Academy of Sciences,,,,"$8,000",,,10,0.0400000
11308,Z06.02.01,"Calvina J. Simons, Newborn Care Specialist",,,,$59,,,68,0.0027701
11309,Z06.02.03,The Reading Clinic,,,,$882,,,110,0.0027701
11310,Z06.03.02,The Reading Clinic,,,,"$4,333",,,60,0.0027701
11312,Z06.02.03,Union Square Productions,,,,$71,,,70,0.0027701
11313,Z03.01.01,SCARS (Saving Children and Revealing Secrets),,,,$114,,,70,0.0037736
11315,Z01.02.01,Baltimore Rock Opera Society (BROS),,,,$170,,,148,0.0070922
11318,Z09.01.01,Imperial College London,,,,"$4,802",,,84,0.0400000
11321,Z06.04.01,The New York Academy of Sciences,,,,$720,,,625,0.0027701
11330,Z12.01.04,Mindful Bermuda,,,,$74,,,270,0.0053476
11331,Z06.02.02,YouthNet,,,,$986,,,207,0.0027701
11333,Z09.01.03,The Elsevier Foundation,,,,"$42,500",,,2,0.0400000
11334,Z04.02.03,Citizens Uprooting Racism in Bermuda (CURB),,,,$737,,,95,0.0133333
11338,Z01.01.01,Bermuda National Gallery,,,,$9,,,1622,0.0070922
11340,Z09.01.03,Organization for Women in Science in the Developing World (OWSD),,,,"$12,000",,,5,0.0400000
11347,Z03.02.01,Equip for Equality,,,,"$1,280",,,1050,0.0037736
11348,Z08.03.01,Open Airways,,,,$82,,,1025,0.0057471
11349,Z06.05.02,Chicago Botanic Garden,,,,"$5,299",,,62,0.0027701
11350,Z05.02.03,Young Women's Christian Association Oahu,,,,$750,,,60,0.0041667
11351,Z10.02.02,Bermuda National Trust,,,,$633,,,3000,0.0270270
11391,Z12.01.04,Philadelphia Young Playwrights,,,,$614,,,1700,0.0053476
11402,Z06.04.01,Code in the Schools,,,,$750,,,80,0.0027701
11403,Z06.03.02,"Baltimore Area Council, Boy Scouts of America",,,,$256,,,2280,0.0027701
11404,Z06.05.01,Baltimore Educational Scholarship Trust,,,,"$14,518",,,28,0.0027701
11408,Z06.03.02,Baltimore Urban Debate League,,,,$697,,,692,0.0027701
11409,Z06.05.02,"The Baltimore Youth Alliance, Inc.",,,,$724,,,144,0.0027701
11411,Z06.03.03,St. Vincent de Paul of Baltimore,,,,"$3,192",,,91,0.0027701
11412,Z06.05.01,Children's Scholarship Fund Baltimore,,,,"$2,268",,,269,0.0027701
11413,Z06.05.03,"CollegeBound Foundation, Inc.",,,,"$10,000",,,18,0.0027701
11415,Z09.02.01,"Teach For America, Inc.",,,,"$2,500",,,40,0.0400000
11416,Z06.01.02,"Teach For America, Inc.",,,,"$8,824",,,17,0.0027701
11417,Z06.01.02,"Teach For America, Inc.",,,,"$12,500",,,20,0.0027701
11420,Z12.01.04,Holistic Life Foundation,,,,$37,,,9000,0.0053476
11422,Z06.03.03,The Ingenuity Project,,,,$398,,,641,0.0027701
11423,Z06.05.04,Maryland Business Roundtable for Education,,,,$4,,,1250,0.0027701
11426,Z06.01.02,Maryland Council on Economic Education,,,,$200,,,100,0.0027701
11432,Z06.01.01,New Leaders,,,,"$50,992",,,18,0.0027701
11433,Z06.05.02,Next One Up,,,,"$5,118",,,68,0.0027701
11435,Z06.01.02,Ready At Five,,,,"$2,782",,,390,0.0027701
11436,Z06.05.01,South Baltimore Learning Corp (SBLC),,,,"$3,212",,,33,0.0027701
11437,Z12.01.01,Stevenson University,,,,"$1,667",,,6,0.0053476
11439,Z06.01.02,Urban Teachers,,,,"$27,396",,,238,0.0027701
11449,Z06.01.02,Teach for America Baltimore,,,,"$21,054",,,72,0.0027701
11453,Z06.05.02,"Building Science Technology And Education Partnerships, Inc.",,,,"$2,132",,,296,0.0027701
11454,Z06.03.01,Baltimore Community Foundation/Middle Grades Partnership,,,,"$2,253",,,455,0.0027701
11455,Z06.05.02,St. Paul's School - Bridges,,,,"$72,727",,,11,0.0027701
11457,Z06.04.02,ChiS&E,,,,"$1,750",,,40,0.0027701
11466,Z12.01.04,Youth & Opportunity United (Y.O.U.),,,,"$5,452",,,650,0.0053476
11467,Z01.01.01,Capitol Center for the Arts,,,,$11,,,9000,0.0070922
11474,Z04.01.03,"Volunteer Lawyer Program of Northeast Indiana, Inc.",,,,$139,,,2100,0.0133333
11481,Z08.04.05,HAVEN,,,,$238,,,42,0.0057471
11483,Z05.03.03,"Easterseals Arc of Northeast Indiana, Inc",,,,"$3,581",,,148,0.0041667
11485,Z05.04.02,Boys & Girls Clubs of Southwest Missouri,,,,$7,,,325,0.0041667
11490,Z05.04.02,Arizona Council on Economic Education,,,,$2,,,160000,0.0041667
11494,Z06.01.03,Houston Independent School District Foundation,,,,$239,,,1675,0.0027701
11495,Z12.01.03,Injury Free Coalition for Kids of Rochester,,,,$17,,,900,0.0053476
11496,Z05.03.01,Junior Achievement of Southwest Virginia,,,,$12,,,571,0.0041667
11497,Z12.01.04,La Maestra Foundation,,,,"$2,857",,,150,0.0053476
11506,Z08.04.05,Harbor House Domestic Abuse Programs,,,,$533,,,1126,0.0057471
11508,Z12.01.04,Project&,,,,$628,,,285,0.0053476
11511,Z06.03.02,PAST Foundation,,,,$54,,,5075,0.0027701
11514,Z05.04.02,Junior Achievement of Central Ohio,,,,$69,,,13000,0.0041667
11515,Z06.05.02,I Know I Can,,,,$226,,,7078,0.0027701
11516,Z12.01.04,Ohio Energy Project,,,,$126,,,835,0.0053476
11517,Z06.01.02,Ohio Energy Project,,,,$233,,,450,0.0027701
11518,Z05.04.01,GRID Alternatives,,,,"$23,816",,,1652,0.0041667
11519,Z05.03.01,IMPACT Community Action,,,,"$7,761",,,46,0.0041667
11520,Z05.03.01,Ohio Energy Project,,,,$194,,,175,0.0041667
11521,Z10.01.04,Ohio Energy Project,,,,$52,,,32637,0.0270270
11522,Z05.04.01,HandsOn Central Ohio,,,,$3,,,500000,0.0041667
11534,Z03.05.02,American Red Cross,,,,$896,,,1430,0.0037736
11536,Z08.03.04,Cancer Services of Allen County dba Cancer Services of Northeast Indiana,,,,$340,,,3772,0.0057471
11537,Z03.05.03,Mental Health America of Northeast Indiana,,,,"$9,770",,,25,0.0037736
11539,Z08.01.01,Eagles Charitable Foundation,,,,$293,,,2739,0.0057471
11540,Z08.04.05,"WINGS Program, Inc.",,,,"$5,455",,,448,0.0057471
11541,Z12.01.01,MPSSAA,,,,$202,,,900,0.0053476
11554,Z03.04.03,"Habitat for Humanity Philadelphia, Inc.",,,,"$4,651",,,334,0.0037736
11555,Z05.04.02,Junior Achievement of Central Maryland,,,,$36,,,12600,0.0041667
11560,Z05.04.02,Junior Achievement of Chicago,,,,$19,,,5367,0.0041667
11561,Z05.04.02,"Junior Achievement of North Central Ohio, Inc.",,,,$33,,,20154,0.0041667
